-70.703498,-33.431924,89,JOSE JOAQUIN PEREZ 4993,QUINTA NORMAL
-70.694114,-33.482004,90,PEDRO AGUIRRE CERDA 4513,CERRILLOS
-70.632714,-33.365816,91,RECOLETA 6041,HUECHURABA
-70.745994,-33.462012,92,MAR DE DRAKE 266,PUDAHUEL
-70.624162,-33.446281,2522659,PROVIDENCIA,AV.ITALIA 1294
-70.67345,-33.451181,4931696,SANTIAGO,SALVADOR SANFUENTES 2725
-70.600973,-33.454113,7688970,NUNOA,IRARRAZAVAL 2786
-70.649107,-33.455836,9908870,SANTIAGO,SAN DIEGO 831 S/N
-70.594409,-33.416456,9914625,LAS CONDES,APOQUINDO 3357
-70.568366,-33.408834,14909109,LAS CONDES,AV.APOQUINDO 5851
-70.569693,-33.409656,14915788,LAS CONDES,APOQUINDO 5701 21
-70.649988,-33.439303,14915796,SANTIAGO,HUERFANOS 987
-70.657818,-33.51552,15960035,LA CISTERNA,GRAN AVENIDA 6427
-70.5684,-33.408915,15984821,LAS CONDES,APOQUINDO 5877
-70.604285,-33.419575,16927082,PROVIDENCIA,PROVIDENCIA 2441
-70.700539,-33.5953,18963426,SAN BERNARDO,COVADONGA 277 A
-70.591774,-33.455323,25095790,NUNOA,IRARRAZAVAL 3651
-70.758231,-33.508535,25159101,MAIPU,MONUMENTO 2028 A
-70.660826,-33.446977,25159861,SANTIAGO,AV.EJERCITO 19
-70.557225,-33.421456,25185935,LAS CONDES,ALONSO DE CAMARGO 7015
-70.573329,-33.608995,27048528,PUENTE ALTO,JOSE LUIS COO 0159
-70.606486,-33.421116,27072887,PROVIDENCIA,AVDA 11 SEPTIEMBRE 2323
-70.552718,-33.39121,27085164,VITACURA,KENNEDY 7946
-70.676694,-33.450921,27125697,SANTIAGO,MEIGGS 27
-70.607738,-33.450536,27183352,NUNOA,SIMON BOLIVAR 2235 0
-70.561094,-33.44352,27230407,LA REINA,MONSENOR EDWARDS 1182
-70.631126,-33.451646,27257534,SANTIAGO,DIEZ DE JULIO 50
-70.67743,-33.448359,27257542,SANTIAGO,CHACABUCO 32
-70.677273,-33.450264,27257550,SANTIAGO,CHACABUCO 8
-70.648634,-33.457024,27286526,SANTIAGO,SAN DIEGO 914
-70.605894,-33.421115,27361447,PROVIDENCIA,MARDOQUEO FERNANDEZ 131
-70.614081,-33.425905,27383858,PROVIDENCIA,11 DE SEPTIEMBRE 1773 B
-70.673239,-33.392511,27399452,CONCHALI,INDEPENDENCIA 3802
-70.701725,-33.58925,27415180,SAN BERNARDO,EYZAGUIRRE 521
-70.679287,-33.436971,27426093,SANTIAGO,MATUCANA 701
-70.630764,-33.436356,27426220,PROVIDENCIA,AV.PROVIDENCIA 175 OF.10
-70.596366,-33.456373,27455867,NUNOA,DUBLE ALMEYDA 3234 3234
-70.646198,-33.444223,27470289,SANTIAGO,SAN FRANCISCO 50
-70.583298,-33.569432,27477534,PUENTE ALTO,CONCHA Y TORO 3948
-70.657647,-33.428568,27482309,INDEPENDENCIA,ESCANILLA 326
-70.726764,-33.444525,27494471,LO PRADO,SAN PABLO 6538
-70.604091,-33.454632,27495877,NUNOA,AV. PEDRO DE VALDIVIA 3474 21 B
-70.644629,-33.435226,27556272,SANTIAGO,SANTO DOMINGO 563
-70.606346,-33.419964,27556590,PROVIDENCIA,PROVIDENCIA 2354
-70.568648,-33.567715,27602223,PUENTE ALTO,AV. LOS TOROS 01279
-70.677254,-33.451499,27613047,EST.CENTRAL,EXPOSICION 51 1330
-70.563888,-33.416385,27618731,LAS CONDES,AV. MANQUEHUE SUR 994 3
-70.653302,-33.426895,27620205,INDEPENDENCIA,INDEPENDENCIA 369 LOC.20
-70.648808,-33.429263,27620302,RECOLETA,REMODELACION TIRSO DE MOLINA S/N 38
-70.648057,-33.427668,27656404,RECOLETA,DAVILA BAEZA 745
-70.650591,-33.433117,27656412,SANTIAGO,ISMAEL VALDES VERGARA 972 64
-70.692249,-33.513945,27663249,LO ESPEJO,AV. CENTRAL 7414
