PJ1686,PJ1686,Salar Surire / Río Clarillo,-33.4334679,-70.77532
PG1583,PG1583,Eim La Cisterna,-33.538475,-70.66355
PG1581,PG1581,San José / José Besa,-33.5988464,-70.6943054
PC107,PC107,Av. Colón / Av. Manquehue Sur,-33.4164925,-70.56517
PG833,PG833,Gral. Arriagada / La Serena,-33.5605965,-70.61436
PH162,PH162,Pintor Cicarelli / Carmen,-33.4763527,-70.63458
PD1092,PD1092,Arboretum Sur / Álvaro Casanova,-33.47416,-70.52455
PD1093,PD1093,Las Vertientes / Álvaro Casanova,-33.4699135,-70.52367
PH796,PH796,Balmaceda / Gabriela Mistral,-33.5293922,-70.70123
PD1096,PD1096,Av. Las Perdices / Av. José Arrieta,-33.46577,-70.52965
PD1097,PD1097,Limarí / Sánchez Fontecilla,-33.4612541,-70.55163
PD1094,PD1094,Álvaro Casanova / Av. José Arrieta,-33.4672852,-70.5245056
PD1095,PD1095,C. De La Montaña / Av. José Arrieta,-33.4664955,-70.52715
PD1098,PD1098,El Molle / Limarí,-33.45902,-70.55154
PD1099,PD1099,Talinay / Limarí,-33.4580269,-70.55117
PF917,PF917,Santa Elena / Dr. Eduardo Cordero,-33.60552,-70.573616
PF916,PF916,Tomé / Domingo Tocornal,-33.60093,-70.55842
PB1641,PB1641,José M. Balmaceda / Caupolicán,-33.403038,-70.7015457
PF913,PF913,Estero Baños M. / Río Coya,-33.6138229,-70.62315
PB1640,PB1640,Av. Vespucio / Calle 2,-33.39099,-70.76451
PB1643,PB1643,Hercules / Némesis,-33.40896,-70.7452
PG918,PG918,Alfonso Donoso / Barros Arana,-33.606617,-70.70298
PG919,PG919,1 De Mayo / Barros Arana,-33.6045952,-70.70226
PG916,PG916,E. Madrid Osorio / Barros Arana,-33.6098938,-70.7045746
PG917,PG917,Eucaliptus / Barros Arana,-33.6086121,-70.70371
PG914,PG914,El Topacio / Gral. Urrutia,-33.6169853,-70.703
PB1644,PB1644,Miraflores / Av. Vicuña Mackenna,-33.40265,-70.7455444
PC857,PC857,Gino Girardi / Camino El Huinganal,-33.342926,-70.51064
PF834,PF834,Ancud / Curaco De Vélez,-33.62537,-70.62609
PC856,PC856,Camino Del Pregón / Camino El Huinganal,-33.34548,-70.50931
PC855,PC855,Camino Colonial / Camino El Huinganal,-33.34756,-70.51027
PC854,PC854,El Rodeo / Padre Alfredo Arteaga,-33.35173,-70.51011
PD1116,PD1116,Parada 2 / (M) Príncipe De Gales,-33.4399567,-70.5727539
PH801,PH801,Pedro Prado / Gabriela Mistral,-33.5274734,-70.70035
PJ84,PJ84,Parada 2 / (M) Pudahuel,-33.44497,-70.74044
PH800,PH800,Lucila Godoy / Clotario Blest,-33.5137062,-70.6854
PI1178,PI1178,Parada 6 / (M) U. De Santiago,-33.4528,-70.68476
PG978,PG978,Bulnes / Eucaliptus,-33.60765,-70.70616
PF839,PF839,Pasaje 14 / Dr. Eduardo Cordero,-33.6042671,-70.56241
PH803,PH803,Centenario / Ferrari,-33.53301,-70.69606
PI1179,PI1179,Terminal San Borja,-33.4540634,-70.68059
PA96,PA96,Parada 3 / Hosp. San Borja Arriarán,-33.4606972,-70.64505
PC850,PC850,El Rincón / Av. La Dehesa,-33.34043,-70.52099
PB506,PB506,Mall Plaza Norte,-33.36812,-70.67914
PD469,PD469,Sánchez Fontecilla Alt. 13000,-33.4954262,-70.55868
PI988,PI988,Camino A Lonquén / Santa Marta,-33.5415535,-70.74132
PD467,PD467,Hamburgo / Av. Tobalaba,-33.4362144,-70.57792
PI986,PI986,Cerro Sombrero / Camino A Lonquén,-33.5365677,-70.73696
PI985,PI985,Los Yacimientos / Camino A Lonquén,-33.53139,-70.73269
PI984,PI984,Camino Lonquén / Av. Lo Espejo,-33.5239677,-70.726
PI983,PI983,Viña Canepa,-33.52621,-70.71989
PI982,PI982,Av. Lo Espejo / Av. Aeropuerto,-33.5265923,-70.71841
PI981,PI981,Vista Clara / Av. Aeropuerto,-33.5233459,-70.71667
PI980,PI980,Parada 4 / Portal Maipú,-33.51078,-70.74035
PC530,PC530,Toledo / Martín De Zamora,-33.42396,-70.58924
PB505,PB505,Pasarela Albany,-33.3665428,-70.68552
PC531,PC531,Alcántara / Martín De Zamora,-33.4234,-70.5867157
PA97,PA97,Parada 3 / Victoria - San Francisco,-33.4642143,-70.6446457
PB502,PB502,Parada 1 / Zañartu - Manuel A. Matta,-33.36598,-70.707695
PF955,PF955,Cerro Paranal / Av. Paseo Pie Andino,-33.5947533,-70.55452
PH304,PH304,Buenaventura / Clotario Blest,-33.50859,-70.68408
PG751,PG751,Industria / Enrique Madrid Osorio,-33.6109962,-70.70219
PI1170,PI1170,Alberto Spikin / Logroño,-33.4709969,-70.68561
PC533,PC533,Cesar Cascabel / Martín De Zamora,-33.42231,-70.5815048
PB500,PB500,Parada 3 / Las Parcelas - Manuel A. Matta,-33.36664,-70.7128448
PI1171,PI1171,Gabriela Mistral / Obispo Manuel Umaña,-33.4708824,-70.6845856
PC534,PC534,Martín De Zamora / Martín De Zamora,-33.4216957,-70.5795441
PB501,PB501,Parada 1 / El Parque - Manuel A. Matta,-33.3661957,-70.71059
PC535,PC535,San Pascual / Martín De Zamora,-33.4188652,-70.57717
PC536,PC536,Sebastián Elcano / Martín De Zamora,-33.4172554,-70.57287
PF954,PF954,Cerro Paranal / Av. Paseo Pie Andino,-33.5944748,-70.55447
PC537,PC537,Domingo Bondi / Martín De Zamora,-33.41615,-70.56914
PI336,PI336,Las Dunas / Judea,-33.5434,-70.76467
PF537,PF537,Sgto. Menadier / Óscar Bonilla,-33.61883,-70.59327
PF536,PF536,Hno. Domingo / Óscar Bonilla,-33.6165581,-70.59387
PB1566,PB1566,Av. Einstein / El Guanaco,-33.4024925,-70.65787
PB1567,PB1567,Calle G / El Guanaco,-33.3773232,-70.65715
PB1560,PB1560,Av. Del Cóndor / Av. Del Parque,-33.38904,-70.6165
PF532,PF532,La Lechería / Av. Juanita,-33.6255035,-70.612236
PF531,PF531,Colegio Almenar Del Maipo,-33.5982666,-70.51584
PF530,PF530,Mampato Las Vizcachas,-33.5983467,-70.5200958
PI330,PI330,Nuvia / Egipto,-33.5425873,-70.77785
PB1568,PB1568,Muñoz Gamero / El Guanaco,-33.40084,-70.65804
PB1569,PB1569,Yungay / Angol,-33.39745,-70.7267456
PF539,PF539,Punta Damas / Valle Central,-33.6221657,-70.59661
PH758,PH758,Ing. Budge / Benozzo Gozzoli,-33.4974022,-70.6300659
PG832,PG832,San Miguel / La Serena,-33.5620537,-70.6127548
PB720,PB720,Juan Cristóbal / Av. Zapadores,-33.38756,-70.65055
PF957,PF957,Cesfam San Alberto Hurtado,-33.5962944,-70.55651
PG835,PG835,Santo Tomás / La Serena,-33.5570068,-70.61592
PB721,PB721,José M. Carrera / Av. Zapadores,-33.3881378,-70.64867
PG834,PG834,Otelo / La Serena,-33.5593147,-70.61525
PE846,PE846,Parada 3 / (M) San José De La Estrella,-33.5530663,-70.58688
PE847,PE847,Parada 3 / Paradero 24 Vicuña Mackenna,-33.557045,-70.58617
PE845,PE845,Parada 3 / Paradero 22 Vicuña Mackenna,-33.55001,-70.58738
PG837,PG837,Javiera Carrera / Venancia Leiva,-33.5576935,-70.63527
PE840,PE840,Los Cerezos / Diagonal Los Castaños,-33.51369,-70.5765839
